"site","year","day","observer","temp","sky"
"ANDRKENVA1","2009",148,"bse",66,"1"
"ANDRKENVA1","2010",202,"jlw",72,"1"
"ASSMCARMD1","2012",138,"multiple",63,"0"
"ASSMCARMD1","2010",166,"jsm",77,"3"
"ASSMCARMD1","2009",148,"ajr",64,"0"
"BAINANDMD1","2012",144,"amc",66,"4"
"BAINANDMD1","2009",167,"lap",71,"0"
"BAINANDMD1","2010",141,"jsm",52,"1"
"BALASUCMD1","2012",186,"amc",72,"0"
"BALASUCMD1","2010",148,"ckw",63,"1"
"BALASUCMD1","2009",164,"ned",72,"1"
"BARBJERMD1","2012",156,"amc",61,"1"
"BARBJERMD1","2010",184,"jsm",68,"0"
"BARBJERMD1","2009",195,"jld",66,"0"
"BARNDORMD1","2010",135,"jlw",61,"3"
"BARNDORMD1","2012",138,"multiple",63,"0"
"BARNDORMD1","2009",143,"bse",61,"1"
"BAUGSHEVA1","2009",203,"ajr",68,"1"
"BEALTOMMD1","2009",143,"ajr",73,"0"
"BEALTOMMD1","2010",195,"ckw",73,"2"
"BEALTOMMD1","2012",145,"amc",67,"1"
"BLANBETMD1","2009",178,"ajr",71,"3"
"BLANBETMD1","2012",147,"amc",71,"3"
"BLANBETMD1","2010",197,"ckw",75,"0"
"BLOCDAVMD1","2009",175,"ajr",71,"0"
"BLOCDAVMD1","2010",188,"bse",82,"1"
"BLOCDAVMD1","2012",134,"multiple",56,"1"
"BOONGREMD1","2012",185,"amc",73,"0"
"BOONGREMD1","2010",155,"bse",71,"0"
"BRENSTEMD1","2009",147,"jld",60,"4"
"BRENSTEMD1","2010",203,"jsm",74,"2"
"BRENSTEMD1","2012",168,"jag",59,"0"
"BRIGKIMMD1","2012",183,"amc",73,"0"
"BRIGKIMMD1","2009",148,"lap",64,"3"
"BROWANNDC1","2010",140,"ckw",55,"2"
"BROWANNDC1","2009",182,"bse",72,"0"
"BROWANNMD1","2009",208,"ajr",72,"3"
"BROWANNMD1","2012",143,"multiple",64,"4"
"BUISNORVA1","2012",147,"kam",70,"3"
"BUISNORVA1","2009",158,"lap",57,"1"
"BUISNORVA1","2010",149,"jlw",66,"1"
"BURDROBVA1","2010",167,"jlw",69,"3"
"BURDROBVA1","2012",150,"jag",72,"0"
"BURDROBVA1","2009",146,"bse",66,"3"
"BURNNANMD1","2010",197,"bse",77,"0"
"BURNNANMD1","2009",169,"bse",64,"2"
"BURNNANMD1","2012",196,"kam",70,"2"
"CAMPGLOMD1","2012",159,"amc",50,"1"
"CAMPGLOMD1","2010",142,"jlw",59,"1"
"CAMPLIBMD1","2009",184,"lap",64,"0"
"CAMPLIBMD1","2012",165,"jag",70,"1"
"CAMPLIBMD1","2010",154,"ckw",66,"0"
"CAMPROSMD1","2012",141,"amc",52,"0"
"CAMPROSMD1","2009",149,"jld",69,"3"
"CANTBOBMD1","2009",175,"lap",64,"0"
"CARLSHIMD1","2010",158,"ckw",61,"0"
"CARLSHIMD1","2012",173,"amc",75,"1"
"CARLSHIMD1","2009",197,"ajr",71,"0"
"CAUSSUSMD1","2009",160,"ajr",75,"4"
"CAUSSUSMD1","2012",180,"kam",70,"1"
"CLARCOLDC1","2010",176,"ckw",77,"0"
"CLARKELMD1","2009",164,"jld",70,"0"
"COLALISMD1","2010",161,"jsm",64,"1"
"COLALISMD1","2012",180,"amc",66,"0"
"COLSKATMD1","2010",182,"ckw",63,"1"
"COLSKATMD1","2009",149,"lap",64,"4"
"COLSKATMD1","2012",139,"multiple",53,"0"
"CONAGAIMD1","2009",176,"bse",69,"0"
"CONNDAVMD1","2009",189,"ajr",60,"0"
"CORCLINMD2","2009",190,"lap",63,"0"
"COULMARMD1","2009",152,"jld",55,"0"
"CRONCHRVA1","2010",152,"jlw",68,"1"
"CRONCHRVA1","2009",209,"bse",72,"0"
"CYRUALLMD1","2009",207,"ajr",66,"0"
"DALEELIMD1","2010",163,"ckw",58,"1"
"DALEELIMD1","2012",209,"jag",75,"1"
"DALEELIMD1","2009",192,"jld",63,"0"
"DANIBARMD2","2010",197,"ckw",75,"1"
"DAVIALIVA1","2009",164,"ajr",73,"0"
"DAVIALIVA1","2012",180,"jag",71,"0"
"DAVIALIVA1","2010",178,"jlw",74,"2"
"DAVIKELVA1","2009",158,"ajr",60,"1"
"DAVIKELVA1","2012",197,"kam",71,"2"
"DAVIKELVA1","2010",175,"ckw",68,"0"
"DECHKIMMD2","2009",172,"ajr",72,"3"
"DECHKIMMD2","2010",178,"ckw",77,"0"
"DECHKIMMD2","2012",206,"amc",77,"3"
"DELUKARVA1","2012",167,"jag",68,"1"
"DELUKARVA1","2009",173,"jld",74,"0"
"DELUKARVA1","2010",187,"jlw",75,"0"
"DONOLORDC1","2009",164,"ajr",71,"0"
"DONOLORDC1","2010",198,"ckw",75,"1"
"EDEREDWVA1","2010",173,"jlw",75,"1"
"EDEREDWVA1","2009",197,"lap",73,"0"
"EDEREDWVA1","2012",159,"jag",54,"0"
"EGANMARMD1","2010",164,"jsm",70,"0"
"EGANMARMD1","2012",161,"jag",68,"0"
"EGGELESVA1","2009",192,"ajr",78,"0"
"EGGELESVA1","2010",184,"jlw",63,"0"
"EGGELESVA1","2012",195,"jag",64,"1"
"EVANMICMD1","2012",168,"amc",65,"0"
"EVANMICMD1","2009",166,"lap",60,"0"
"EVANMICMD1","2010",134,"jsm",48,"3.5"
"FAGABERMD1","2012",164,"amc",70,"0"
"FAGABERMD1","2009",203,"ned",72,"2"
"FAGABERMD1","2010",133,"ckw",62,"2"
"FARYSIMMD1","2012",161,"jag",55,"0"
"FARYSIMMD1","2010",136,"ckw",70,"0"
"FISHFERVA1","2010",185,"jlw",64,"0"
"FISHFERVA1","2012",147,"jag",72,"3"
"FISHFERVA1","2009",151,"ajr",62,"0"
"FOOSDAVVA1","2010",194,"jlw",72,"2"
"FORCBREVA1","2009",154,"ajr",60,"0"
"FORCBREVA1","2010",154,"jlw",69,"1"
"FREYFREMD1","2010",149,"ckw",66,"2"
"FREYFREMD1","2009",187,"ajr",64,"0"
"FREYFREMD1","2012",211,"jag",72,"0"
"FUISLISDC1","2009",163,"ajr",70,"2"
"FUISLISDC1","2010",145,"ckw",67,"3"
"FUISLISDC1","2012",171,"jag",63,"3"
"GAETHEAMD1","2012",177,"amc",71,"0"
"GAETHEAMD1","2009",176,"lap",67,"0"
"GALLMONVA1","2009",170,"ajr",61,"0"
"GALLMONVA1","2012",174,"jag",75,"0"
"GALLMONVA1","2010",176,"jlw",73,"1"
"GALLTERMD1","2009",158,"bse",62,"2"
"GALLTERMD1","2012",174,"amc",83,"1"
"GALLTERMD1","2010",196,"jsm",74,"1"
"GARDVALMD1","2010",146,"jlw",64,"3"
"GARDVALMD1","2009",161,"bse",68,"0"
"GARDVALMD1","2012",152,"amc",72,"3"
"GECACARVA1","2009",151,"bse",62,"0"
"GECACARVA1","2012",179,"jag",63,"0"
"GECACARVA1","2010",184,"ckw",58,"0"
"GELLHERMD1","2009",189,"jld",66,"0"
"GELLHERMD1","2010",169,"bse",73,"0"
"GERYERIMD1","2009",198,"lap",76,"0"
"GERYERIMD1","2012",202,"amc",81,"1"
"GERYERIMD1","2010",196,"bse",72,"4"
"GIESALYVA1","2009",148,"jld",69,"0"
"GIRAANGMD1","2010",148,"jsm",70,"3"
"GIRAANGMD1","2012",206,"kam",72,"1"
"GIRAANGMD1","2009",199,"lap",62,"0"
"GOCHJOAMD1","2009",164,"lap",70,"2"
"GOCHJOAMD1","2010",143,"jlw",63,"3"
"GOCHJOAMD1","2012",196,"amc",72,"3"
"GOMEKARMD1","2010",204,"jsm",79,"0"
"GOMEKARMD1","2012",199,"amc",80,"1"
"GOROCARDC1","2012",186,"jag",79,"0"
"GOROCARDC1","2009",164,"bse",72,"1"
"GOROCARDC1","2010",126,"rr",71,"0"
"GRIFBETDC1","2009",164,"jld",71,"1"
"GRIFBETDC1","2010",196,"ckw",72,"4"
"HALLDEBVA1","2009",152,"ajr",58,"0"
"HAMIMARMD1","2009",158,"jld",65,"3"
"HAMIMARMD1","2012",143,"amc",67,"3"
"HAMIMARMD1","2010",195,"jsm",74,"3"
"HAWNJANVA1","2009",196,"lap",65,"0"
"HAWNJANVA1","2010",188,"jlw",84,"1"
"HAWNJANVA1","2012",139,"multiple",60,"0"
"HESSSETVA1","2009",207,"lap",73,"1"
"HITCBJMD1","2009",170,"lap",59,"0"
"HITCBJMD1","2010",197,"jsm",65,"0"
"HOROBONVA1","2009",202,"lap",67,"1"
"HOROBONVA1","2010",173,"jlw",71,"0"
"HULLJEFVA1","2012",186,"kam",80,"0"
"HULLJEFVA1","2010",170,"jlw",62,"0"
"HUNTDAVMD2","2009",147,"ajr",57,"5"
"HUNTDAVMD2","2010",194,"jsm",70,"3"
"HUNTDAVMD2","2012",182,"jag",75,"0"
"HUTCBARVA1","2009",178,"jld",72,"2"
"HUTCBARVA1","2012",195,"kam",73,"0"
"HUTCBARVA1","2010",175,"jlw",70,"0"
"JACKALADC1","2012",198,"jag",77,"0"
"JACKALADC1","2010",146,"ckw",67,"3"
"JACKALADC1","2009",163,"jld",69,"3"
"JACOAMYMD1","2010",195,"bse",77,"4"
"JACOAMYMD1","2009",152,"ajr",60,"5"
"JACOMERMD1","2012",174,"kam",75,"1"
"JACOMERMD1","2010",164,"bse",69,"0"
"JACOMERMD1","2009",199,"bse",63,"1"
"JACOSYDMD1","2010",158,"jsm",63,"0"
"JACOSYDMD1","2012",182,"amc",76,"2"
"JAKOELVVA1","2012",196,"jag",75,"3"
"JAKOELVVA1","2010",154,"jlw",71,"0"
"JAKOELVVA1","2009",154,"lap",65,"1"
"JEWELIBMD1","2009",160,"jld",66,"0"
"JEWELIBMD1","2012",156,"jag",66,"1"
"JEWELIBMD1","2010",147,"ckw",73,"0"
"KAMILEIVA1","2009",161,"lap",65,"1"
"KAMILEIVA1","2012",153,"jag",72,"3"
"KAMILEIVA1","2010",166,"jlw",77,"1"
"KESTSABDC1","2010",136,"jlw",67,"0"
"KESTSABDC1","2009",193,"lap",68,"0"
"KESTSABDC1","2012",168,"jag",64,"0"
"KEYESUSMD1","2012",164,"jag",66,"1"
"KEYESUSMD1","2009",154,"jld",65,"0"
"KEYESUSMD1","2010",190,"jsm",72,"1"
"KINDFAPMD1","2010",146,"jlw",64,"1"
"KNIGSALVA1","2010",152,"bse",71,"1"
"KNIGSALVA1","2009",195,"lap",70,"1"
"KNIGSALVA1","2012",161,"kam",60,"0"
"KORRHARMD1","2010",202,"bse",76,"0"
"KORRHARMD1","2009",155,"ajr",60,"3"
"KORRHARMD1","2012",158,"amc",57,"1"
"KRAMPAUMD1","2010",209,"jsm",75,"1"
"LAFMELVA1","2009",208,"lap",73,"2"
"LAFMELVA1","2010",160,"jlw",59,"0"
"LAFMELVA1","2012",210,"jag",79,"0"
"LANDCELVA1","2012",126,"rr",70,"2"
"LANDCELVA1","2010",155,"jlw",69,"1"
"LANDCELVA1","2009",172,"bse",75,"3"
"LANGANKVA1","2009",178,"lap",73,"3"
"LANGANKVA1","2012",155,"jag",55,"1"
"LANGANKVA1","2010",170,"jsm",72,"0"
"LEONTESDC1","2009",173,"lap",74,"1"
"LEONTESDC1","2010",134,"jlw",53,"3"
"LIEBJUDMD1","2009",154,"jld",67,"4"
"LIEBJUDMD1","2010",147,"bse",73,"0"
"LIEBJUDMD1","2012",153,"jag",70,"0"
"LINDHANMD1","2010",143,"jsm",64,"3"
"LINDHANMD1","2009",175,"bse",71,"0"
"LINDHANMD1","2012",177,"jag",75,"0"
"LORAJORMD1","2009",167,"ajr",64,"3"
"LUCAJILMD1","2009",170,"jld",73,"0"
"LUCAJILMD1","2010",181,"ckw",80,"2"
"LUCAJILMD1","2012",158,"jag",59,"3"
"LUCIDANMD1","2009",152,"lap",60,"0"
"LYONLYNVA1","2012",152,"jag",66,"3"
"LYONLYNVA1","2009",175,"jld",72,"0"
"LYONLYNVA1","2010",147,"jlw",71,"0"
"MAHOJIMMD1","2010",194,"bse",70,"1"
"MAHOJIMMD1","2012",176,"jag",78,"0"
"MAHOJIMMD1","2009",152,"bse",62,"0"
"MANNJANDC1","2010",183,"ckw",61,"0"
"MANNJANDC1","2012",194,"jag",73,"1"
"MANNJANDC1","2009",167,"ajr",69,"4"
"MARRPETMD2","2009",205,"ajr",73,"2"
"MARRPETMD2","2012",202,"jag",77,"3"
"MARRPETMD2","2010",167,"jsm",71,"3"
"MAZUJENMD1","2009",176,"jld",69,"0"
"MAZUJENMD1","2012",176,"amc",72,"0"
"MAZUJENMD1","2010",175,"jsm",72,"0"
"MCCAKEVMD1","2012",188,"amc",73,"1"
"MCCAKEVMD1","2009",176,"lap",72,"0"
"MCCAKEVMD1","2010",181,"jsm",79,"1"
"MCCOCHRMD1","2009",202,"bse",66,"2"
"MCCOCHRMD1","2010",152,"jsm",74,"1"
"MCCOCHRMD1","2012",179,"amc",60,"0"
"MCCOCHRMD1","2009",185,"ned",66,"2"
"MCCOJOHMD1","2009",167,"jld",69,"3"
"MCDOELIVA1","2010",198,"jlw",78,"1"
"MCDOELIVA1","2012",156,"kam",68,"0"
"MCKEANNVA1","2009",173,"ajr",69,"1"
"MCKEJANMD1","2009",197,"ajr",71,"1"
"MCNAKRIMD1","2009",210,"ned",77,"3"
"MCNAKRIMD1","2010",173,"ckw",71,"0"
"MCNAKRIMD1","2012",167,"amc",69,"0"
"MEGOPATMD2","2009",161,"jld",68,"0"
"MEGOPATMD2","2010",197,"jlw",74,"1"
"MEGOPATMD2","2012",203,"amc",73,"3"
"MILLJOEMD1","2010",154,"ckw",75,"1"
"MILLJOEMD1","2009",172,"lap",68,"2"
"MILLJOEMD1","2012",165,"amc",70,"3"
"MILLLORVA1","2009",199,"ajr",64,"1"
"MILLLORVA1","2010",179,"jlw",78,"1"
"MILLLORVA1","2012",189,"jag",75,"1"
"MILLPAUMD1","2009",181,"ned",69,"0"
"MISSEDDC1","2010",158,"bse",63,"0"
"MISSEDDC1","2009",176,"jld",75,"1"
"MISSEDDC1","2012",193,"jag",75,"1"
"MOLIKARMD1","2009",198,"jld",76,"1"
"MOLIKARMD1","2012",167,"kam",70,"1"
"MOLIKARMD1","2010",185,"jsm",65,"0"
"MORAANGMD1","2009",155,"lap",59,"3"
"MORRCHRVA1","2009",187,"jld",64,"0"
"MORRCHRVA1","2012",182,"kam",75,"0"
"MORRCHRVA1","2010",182,"jlw",64,"1"
"MORRJESMD1","2009",144,"jld",69,"0"
"MORRJESMD1","2010",158,"jsm",79,"1"
"MOSMCARMD1","2010",206,"jsm",84,"0"
"MOSMCARMD1","2012",171,"amc",62,"3"
"MULLJOYVA1","2010",160,"jlw",61,"4"
"MULLJOYVA1","2009",193,"jld",68,"1"
"MULLJOYVA1","2012",168,"kam",60,"0"
"MUTRCYNMD2","2010",173,"ckw",72,"1"
"MUTRCYNMD2","2009",161,"ajr",64,"0"
"MYERBRUMD1","2012",133,"multiple",55,"0"
"MYERBRUMD1","2009",198,"ajr",73,"0"
"MYERBRUMD1","2010",170,"jsm",63,"0"
"NAYLMICMD2","2009",193,"ajr",80,"3"
"NAYLMICMD2","2012",174,"amc",78,"0"
"NAYLMICMD2","2010",176,"ckw",77,"0"
"NE1","2010",184,"bse",66,"0"
"NE3","2010",184,"bse",69,"0"
"NE4","2010",184,"bse",69,"0"
"NE5","2010",184,"bse",71,"0"
"NE6","2010",184,"bse",70,"0"
"NE7","2010",184,"bse",68,"0"
"NEWBCARVA1","2009",143,"jld",57,"0"
"NEWBCARVA1","2012",141,"multiple",50,"0"
"NEWBCARVA1","2010",170,"jlw",68,"2"
"NICHALIMD1","2009",179,"lap",71,"0"
"NW1","2010",181,"bse",77,"0"
"NW2","2010",181,"bse",74,"0"
"NW3","2010",181,"bse",77,"0"
"NW4","2010",181,"bse",77,"0"
"OBRICHRMD1","2012",155,"amc",59,"0"
"OBRICHRMD1","2009",182,"ned",70,"0"
"ODELVINMD2","2009",163,"lap",68,"3"
"ODELVINMD2","2012",165,"amc",73,"3"
"ODELVINMD2","2009",163,"lap",64,"3"
"ODELVINMD2","2010",179,"bse",80,"0"
"OLONMARDC1","2009",183,"bse",68,"2"
"OLONMARDC1","2010",142,"jsm",60,"0"
"OLONMARDC1","2012",188,"jag",82,"0"
"OMLAKEVMD1","2009",172,"jld",70,"2"
"ONTAHOUDC1","2012",199,"kam",71,"0"
"ONTAHOUDC1","2010",202,"jsm",77,"0"
"ONTAHOUDC1","2009",178,"ckw",78,"3"
"OWENDORVA1","2012",185,"kam",75,"0"
"OWENDORVA1","2009",204,"ajr",66,"1"
"OWENDORVA1","2010",161,"jlw",66,"0"
"OWENJOHMD1","2009",182,"jld",68,"0"
"OWENJOHMD1","2010",161,"ckw",64,"0"
"PADORAMVA1","2010",183,"jlw",64,"0"
"PADORAMVA1","2012",147,"jag",70,"3"
"PADORAMVA1","2009",184,"ajr",68,"1"
"PATSNADMD1","2009",169,"lap",61,"3"
"PATTDAVMD1","2009",207,"jld",69,"0"
"PATTDAVMD1","2010",206,"ckw",84,"0"
"PERNMIKMD1","2010",173,"jsm",70,"0"
"PERNMIKMD1","2009",185,"lap",55,"2"
"PERNMIKMD1","2012",165,"kam",70,"1"
"PERRCHRMD1","2012",150,"amc",76,"0"
"PERRCHRMD1","2010",188,"ckw",83,"0"
"PHARAIMMD1","2009",176,"ned",70,"0"
"PHARAIMMD1","2012",161,"amc",70,"0"
"PHARAIMMD1","2010",167,"bse",70,"3"
"PHELCLADC1","2009",181,"jld",69,"0"
"PICKMARMD1","2009",188,"jld",74,"0"
"PICKMARMD1","2010",208,"jlw",66,"0"
"PIROELADC1","2009",208,"bse",73,"2"
"PIROELADC1","2012",195,"amc",73,"1"
"PIROELADC1","2010",203,"ckw",74,"1"
"RAUNERIMD1","2010",207,"ckw",71,"1"
"RCP_SMBDC1","2009",188,"ajr",69,"0"
"RCP_SMBDC1","2010",154,"bse",73,"0"
"RCP_SMBDC1","2012",208,"sc",75,"3"
"REIKROBMD1","2009",183,"lap",64,"2"
"REITBOBMD1","2010",187,"ckw",74,"0"
"REITBOBMD1","2012",193,"kam",73,"0"
"REUTSHAMD1","2009",182,"lap",71,"0"
"REUTSHAMD1","2012",161,"amc",62,"0"
"REUTSHAMD1","2010",197,"jsm",74,"1"
"ROHRSALMD1","2012",168,"kam",68,"0"
"ROHRSALMD1","2009",212,"ned",74,"2"
"ROHRSALMD1","2010",155,"ckw",71,"2"
"SALAJENMD1","2010",170,"ckw",69,"0"
"SALAJENMD1","2009",190,"ned",70,"0"
"SALAJENMD1","2012",164,"kam",68,"1"
"SALOSHEMD1","2009",173,"ned",70,"0"
"SALOSHEMD1","2010",160,"bse",59,"0"
"SALOSHEMD1","2012",153,"amc",69,"0"
"SANFCARMD1","2009",158,"lap",60,"1"
"SANFCARMD1","2010",160,"jsm",64,"4"
"SANFCARMD1","2012",152,"kam",69,"3"
"SARGMARMD1","2010",164,"ckw",70,"0"
"SARGMARMD1","2009",207,"bse",70,"0"
"SARGMARMD1","2012",153,"amc",68,"3"
"SCHILYDMD1","2009",185,"ajr",62,"2"
"SCHIMARMD1","2009",193,"ned",68,"1"
"SCHIMARMD1","2012",174,"kam",73,"0"
"SCHIMARMD1","2010",140,"jlw",54,"3"
"SCHLROBMD1","2012",193,"amc",72,"1"
"SCHLROBMD1","2010",194,"ckw",70,"2"
"SHAYSARMD1","2009",173,"bse",70,"0"
"SHEEM.AMD1","2009",203,"bse",71,"2"
"SHEEM.AMD1","2010",145,"jlw",63,"3"
"SILLSCOMD1","2009",196,"ajr",64,"0"
"SILLSCOMD1","2012",208,"amc",68,"0"
"SILLSCOMD1","2010",176,"jsm",79,"0"
"SINGDADMD1","2010",179,"jsm",79,"1"
"SINGDADMD1","2012",165,"kam",66,"4"
"SOLIAPRMD1","2009",166,"jld",70,"3"
"SOLIAPRMD1","2012",208,"kam",75,"0"
"SOLIAPRMD1","2010",185,"ckw",59,"0"
"SOLLCHRMD1","2009",164,"bse",73,"1"
"SOLLCHRMD1","2010",127,"ckw",60,"1"
"SOLLCHRMD1","2012",153,"kam",69,"3"
"SPEYPAUMD1","2009",147,"bse",59,"3"
"STANJEFMD1","2010",182,"bse",64,"0"
"STANJEFMD1","2012",145,"kam",65,"1"
"STEWBETMD1","2012",132,"multiple",55,"0"
"STEWBETMD1","2010",157,"jsm",74,"1"
"STORPATMD1","2009",190,"jld",65,"0"
"STUECHRVA1","2012",210,"kam",80,"0"
"STUECHRVA2","2010",157,"jlw",70,"1"
"STUECHRVA2","2009",205,"bse",70,"1"
"STURCARMD1","2010",152,"ckw",75,"1"
"STURCARMD1","2012",147,"amc",71,"1"
"STURCARMD1","2009",185,"ned",65,"3"
"SUBRSTEMD1","2012",130,"multiple",68,"2"
"SUBRSTEMD1","2010",146,"jsm",63,"0"
"SUBRSTEMD1","2009",160,"bse",70,"0"
"SULLPAUVA1","2009",181,"bse",71,"0"
"SULLPAUVA1","2012",161,"kam",70,"0"
"SULLPAUVA1","2010",190,"jlw",77,"0"
"TATEJUAMD1","2012",180,"amc",73,"0"
"TATEJUAMD1","2009",181,"ajr",68,"0"
"TAYLELEVA1","2009",154,"lap",71,"2"
"TAYLELEVA1","2010",167,"ckw",74,"2"
"THOMMARDC1","2010",125,"rr",75,"2"
"THOMMARDC1","2012",194,"amc",74,"2"
"THOMMARDC1","2009",198,"bse",76,"1"
"THOMSUSMD1","2009",160,"lap",68,"1"
"TINIKATMD1","2009",149,"bse",70,"3"
"TINIKATMD1","2010",189,"jlw",77,"1"
"TRAUPATVA1","2009",195,"bse",68,"1"
"UNGELAUDC1","2009",190,"ajr",66,"0"
"URBABETMD1","2009",176,"ajr",66,"1"
"VERSBETMD1","2009",184,"jld",71,"0"
"VERSBETMD1","2010",149,"jsm",65,"1"
"VERSBETMD1","2012",159,"kam",60,"0"
"VONGJENMD1","2009",175,"ned",70,"1"
"VONGJENMD1","2010",131,"jsm",45,"0"
"VONGJENMD1","2012",159,"amc",61,"1"
"VOSSCOLVA1","2009",193,"bse",69,"1"
"VOSSCOLVA1","2012",155,"kam",63,"0"
"VOSSCOLVA1","2010",196,"jlw",72,"3"
"WALKPATVA1","2009",194,"lap",70,"0"
"WAPLMILVA1","2010",205,"jlw",72,"1"
"WAPLMILVA1","2009",197,"lap",62,"0"
"WARDDOUVA1","2009",179,"bse",71,"1"
"WATSPATDC1","2009",197,"jld",74,"1"
"WATSPATDC1","2010",169,"ckw",73,"0"
"WHITLAUDC1","2009",189,"bse",70,"0"
"WHITLAUDC1","2010",160,"ckw",62,"0"
"WIEBFRAMD1","2009",196,"ned",66,"0"
"WIEBFRAMD1","2010",126,"multiple",70,"0"
"WIEBFRAMD1","2012",207,"amc",78,"0"
"WIKACORMD1","2009",142,"ajr",73,"0"
"WIKACORMD1","2010",217,"jlw",77,"1"
"WIKACORMD1","2012",213,"jag",79,"3"
"WILDANNVA1","2012",146,"kam",70,"0"
"WILDANNVA1","2010",158,"jlw",62,"0"
"WILDANNVA1","2009",184,"bse",69,"0"
"WILELINMD1","2009",167,"bse",68,"3"
"WILELINMD1","2012",189,"amc",80,"0"
"WILELINMD1","2010",163,"jlw",64,"0"
"WILLCYNVA1","2009",188,"lap",69,"0"
"WILLRAJMD1","2009",185,"jld",67,"2"
"WILLRAJMD1","2010",209,"jlw",73,"2"
"WILLRAJMD1","2012",171,"amc",70,"3"
"WILLTERMD1","2012",146,"amc",70,"2"
"WILLTERMD1","2009",195,"ned",66,"0"
"WILLTERMD1","2010",179,"ckw",84,"0"
"WILLTINVA1","2009",182,"ajr",60,"0"
"WILLTINVA1","2012",179,"kam",72,"0"
"WILLTINVA1","2010",181,"jlw",75,"2"
"WISECELMD1","2009",187,"lap",62,"0"
"WISECELMD1","2010",166,"bse",73,"2"
"WISECELMD1","2012",144,"multiple",65,"4"
"WOLFAMYDC1","2012",189,"kam",84,"0"
"WOLFAMYDC1","2009",202,"jld",74,"3"
"WOLFAMYDC1","2010",141,"ckw",58,"0"
"WOLFKARDC1","2010",208,"ckw",65,"1"
"WOLFKARDC1","2009",210,"ajr",77,"3"
"WOLFKARDC1","2012",219,"kam",80,"3"
"WOODELEVA1","2009",170,"bse",68,"0"
"WOODELEVA1","2010",188,"jsm",84,"2"
"WOODELEVA1","2012",147,"kam",72,"3"
"WOODPAUVA1","2012",153,"kam",67,"1"
"WOODPAUVA1","2010",182,"jsm",64,"2"
"WRIGVENMD1","2010",163,"jsm",66,"0"
"WRIGVENMD1","2009",167,"bse",70,"2"
"WRIGVENMD1","2012",207,"jag",75,"1"
"YOUNELIMD1","2009",183,"ajr",64,"2"
"YOUNELIMD1","2010",169,"jsm",70,"0"
"YOUNKIMVA1","2012",176,"kam",73,"0"
"YOUNKIMVA1","2009",207,"bse",70,"2"
"YOUNKIMVA1","2010",160,"jsm",58,"0"
"ZAMBTRAMD1","2010",132,"jsm",50,"1.5"
"ZAMBTRAMD1","2012",145,"jag",64,"1"
"BROWANNMD1","2010",176,"jsm",76.5,"1"
"RCP_EDZDC1","2009",202,"ajr",69,"2"
"ROTHPAUVA1","2009",213,"ned",71.5,"3"
"RUSSJODMD1","2009",205,"ned",71.5,"3"
"CAMPLIBMD1","2010",154,"ckw",70.625,"0"
"ROHRSALMD1","2010",155,"ckw",70.625,"2"
